Arquivo,MIME_type,Pasta de Destino
VirusShare_dc8c4e20ad57686ef3c9085d97b7250a,application/zip,./sample_classification/application_zip
VirusShare_814d64040f95d6a86b233a4a1f5225f3,application/zip,./sample_classification/application_zip
VirusShare_f420c3f4f36012d7693bd357b7779c9f,application/zip,./sample_classification/application_zip
VirusShare_84adde4b991b684c50f32de2f3ec0e6a,application/zip,./sample_classification/application_zip
VirusShare_a2a2c03963b139997e71a9bbc8264615,application/zip,./sample_classification/application_zip
VirusShare_d7f9b64762eaa9cf1592f0b2e15354d0,application/zip,./sample_classification/application_zip
VirusShare_60afa6dce2fb95b222d0fffd0e7d1b15,application/zip,./sample_classification/application_zip
VirusShare_b2c774bf2442fadee9b02c476fb42509,application/zip,./sample_classification/application_zip
VirusShare_76c80759ad1ca717e7a119f56b34bb27,application/zip,./sample_classification/application_zip
VirusShare_467b8fb82ecf76e432fce6b47866788a,application/zip,./sample_classification/application_zip
VirusShare_3eb41df602794ede114e892a607ad599,application/zip,./sample_classification/application_zip
VirusShare_4c92ca33286fc27a149fbdd9d12e7d1f,application/zip,./sample_classification/application_zip
VirusShare_b6701d095ba8202e7317b74ff276e18b,application/zip,./sample_classification/application_zip
VirusShare_dda03356adb446236a201dbeb5af35cc,application/zip,./sample_classification/application_zip
VirusShare_93c44d488bee39edc4f7baa01a424ca8,application/zip,./sample_classification/application_zip
VirusShare_6d693725b732e414e10bb5337988ad7e,application/zip,./sample_classification/application_zip
VirusShare_ead60b6d85083a0c35efd806c78b630f,application/zip,./sample_classification/application_zip
VirusShare_e8447055ba4fc53423f03f79c51d81d9,application/zip,./sample_classification/application_zip
VirusShare_6137ddd81566ff0ab02ed1d560385f79,application/zip,./sample_classification/application_zip
VirusShare_b52693263a762f784a6876a32816ca72,application/zip,./sample_classification/application_zip
VirusShare_b2e64512353f686fe4bfcebe51d760d2,application/zip,./sample_classification/application_zip
VirusShare_293754b71f4e5e5ec7b8549106da8913,application/zip,./sample_classification/application_zip
VirusShare_a3bb1ff1df5bfe461c495d01d0f12389,application/zip,./sample_classification/application_zip
