Arquivo,Tipo MIME,Pasta de Destino
VirusShare_54a8443988f7a205da133f476656e52a,message/rfc822,./sample_classification/message_rfc822
VirusShare_412741701fa661d581b13cf27c55cf8a,message/rfc822,./sample_classification/message_rfc822
VirusShare_22f0578ab9a86a4a8c039d54c9a4818f,message/rfc822,./sample_classification/message_rfc822
VirusShare_7680ca30fa4ac9ba209955b6bf0c0f00,message/rfc822,./sample_classification/message_rfc822
VirusShare_aad5271b6d5a784c44d07c80db2a7f82,message/rfc822,./sample_classification/message_rfc822
VirusShare_db848bde92281bc191ac12351eafdd09,message/rfc822,./sample_classification/message_rfc822
VirusShare_2aee33eef44c03f35b708b0a5b3219a2,message/rfc822,./sample_classification/message_rfc822
VirusShare_ce3d6fbd9bc3c92439da5347e1c54c1d,message/rfc822,./sample_classification/message_rfc822
VirusShare_47545b26c4fba4be16d04b84448964e8,message/rfc822,./sample_classification/message_rfc822
VirusShare_13e0cdb36c0c74e52e0faa239cbb4ef7,message/rfc822,./sample_classification/message_rfc822
VirusShare_3bb1dee73f86ccf802b0965768b0adfe,message/rfc822,./sample_classification/message_rfc822
VirusShare_f8ab1ffe2a43e89bf9b6fa5af487c5fa,message/rfc822,./sample_classification/message_rfc822
VirusShare_9a19ba91b1029172cd366d283673612c,message/rfc822,./sample_classification/message_rfc822
VirusShare_e5c1654f81b88a6c2d31e23516a7f510,message/rfc822,./sample_classification/message_rfc822
VirusShare_92aa52751b4be5ce3f76fc2aca0a48c5,message/rfc822,./sample_classification/message_rfc822
VirusShare_9f462cbb116fcd37a6398f03edb61851,message/rfc822,./sample_classification/message_rfc822
VirusShare_c914b6f82de580a9c3e18ba3abeaa051,message/rfc822,./sample_classification/message_rfc822
VirusShare_5d1833a130372babfa0103217631cd85,message/rfc822,./sample_classification/message_rfc822
VirusShare_ecef2e4828cd4f2fe78e0b724a715236,message/rfc822,./sample_classification/message_rfc822
VirusShare_c7831806db6dfb86345e24114c7e6715,message/rfc822,./sample_classification/message_rfc822
VirusShare_cf9fed85d4f05f24e6bf7eeb21888773,message/rfc822,./sample_classification/message_rfc822
VirusShare_a565a6dbf8ed21b815a29ddc05abfafb,message/rfc822,./sample_classification/message_rfc822
VirusShare_c0b2620f1242bd967b6077478103a3f0,message/rfc822,./sample_classification/message_rfc822
VirusShare_5b87b8e5e95ec0b40cfd8334c2e528c8,message/rfc822,./sample_classification/message_rfc822
VirusShare_28ba16b6362a76e6041f042fa16acf22,message/rfc822,./sample_classification/message_rfc822
VirusShare_39a72384d60da1e49cecc1bf278659c0,message/rfc822,./sample_classification/message_rfc822
