Arquivo,Tipo MIME,Pasta de Destino
VirusShare_957374a6f814e7480d82b488b36737c9,text/x-ruby,./sample_classification/text_x-ruby
VirusShare_9bba467d7bbc25ef83221ca18a329208,text/x-ruby,./sample_classification/text_x-ruby
VirusShare_d482cbdf71ee48934699b09e2ff62611,text/x-ruby,./sample_classification/text_x-ruby
VirusShare_1747a524c2376f319b5438b86acfe5c1,text/x-ruby,./sample_classification/text_x-ruby
VirusShare_f3c1603f9038299051f7fca203227740,text/x-ruby,./sample_classification/text_x-ruby
VirusShare_8c4e9674e8fad3cb05906309b9c7a9fd,text/x-ruby,./sample_classification/text_x-ruby
VirusShare_a22614d0a038073d5f3c59ac0b2e45df,text/x-ruby,./sample_classification/text_x-ruby
VirusShare_4f086047554b998decdbec8795351780,text/x-ruby,./sample_classification/text_x-ruby
VirusShare_54374580ead6ab1d6970c7de9a29d050,text/x-ruby,./sample_classification/text_x-ruby
VirusShare_be5889bcc61e90f9c0ee82bf4eabc33b,text/x-ruby,./sample_classification/text_x-ruby
VirusShare_00dbef2e7251034ea8c7175f6faa7b8a,text/x-ruby,./sample_classification/text_x-ruby
VirusShare_7c016486b5f8b2b778857802298fcbd3,text/x-ruby,./sample_classification/text_x-ruby
VirusShare_bec6cec9ed6b0fc3a40d412f7fbfd5e0,text/x-ruby,./sample_classification/text_x-ruby
VirusShare_2efb5971ff2fd1d7bc697fc946c604ae,text/x-ruby,./sample_classification/text_x-ruby
