Arquivo,Tipo MIME,Pasta de Destino
VirusShare_d91e0aebfbc7783e94e1bf218426bcbf,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_a0fb29da85238ec02c2f46f62c0b7341,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_e5a2c7083fec09553fac432a7c90e805,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_5f8c8552743dbb008bbf01198df89677,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_cd02e484fba87312d572cea10932aa9a,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_bdc736a89d6a7d8fbc5bb4e9635c7b53,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_2c6deb8fcc67082cf0823ddeba06cd59,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_55caa9b0526f3aa3b5f3c1db2a8cc536,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_f67b6b250d06079c0a6267c96393c6b2,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_06e4fd44bdf2df8c71f6e39ce428a6ed,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_264cb2f57dc7021761b429da1412b6d9,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_362f9c0fd51347e068d08e8f6a5eb6c8,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_12aa82e9a1d4bbaa4ee300a5163d14cb,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_aa6edbeaf85830474d2fb93471edd120,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_3ac980d016f125048ed077327202cec5,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_069b1eea265ffaec4ea4920956d01dd1,text/x-script.python,./sample_classification/text_x-script.python
VirusShare_15baba580878295f7582d607084e99df,text/x-script.python,./sample_classification/text_x-script.python
