Arquivo,MIME_type,Pasta de Destino
VirusShare_68e6cad61abe0bcce1f82917178a60aa,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_f66882061bb0d217b0683f571329a3ea,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_96070f100b07715c6649669fbd871ab8,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_93bd49d6c4fae33d954f28d4a459a896,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_24048aed64191a18945e7a6b0b83b13a,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_8c24df830ad91925a7ecc77baba59e34,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_15df7673f54654fd62372120835b95a6,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_aa7e495c29050cbd51b6439b0327ed08,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_8e8e209c25f6cc22d0fbb46848e81c28,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_f665dee6b4ad1aa907351622d8521069,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_6f247bda9824fdf47ffea6fe7edeffb0,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_a4a02775c3654a73380920c998336d81,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_08d2fac885d278a59f1c01c48783a32c,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_a395e57895d4948d619caf60c7c4b6e2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_06ed7650dcd21405201d3146a8b7d307,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_6ffc82d4d6538c7ba4839b31addd9d56,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_1d52ee9af574c380251a55ce7da88f4b,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_31eadc88867a42e89e2e21223a2c639c,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_e71171fadb8b555c5d09b98193ab3e62,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
VirusShare_041917ce658417a6d68aff3740a5251b,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,./sample_classification/application_vnd.openxmlformats-officedocument.spreadsheetml.sheet
