Arquivo,MIME_type,Pasta de Destino
VirusShare_f0751ef6f967230454e3e3933fe351ef,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_3d4ab23871baad28d9dd172b9f4e1dd7,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_263631757aa6424d8695bbdbcb970c91,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_513edda253ef43a829b17476cab38c84,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_cbaeb1bd4105b4cae5bfedb5041e25f3,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_a389d35f58a1f648bf2c0ae0462c0ec6,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_75aba30040f41f8d0255124dbe436775,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_04670f5a8935de069f0586f237b80a15,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_e63e56fff4de472d48ac5d2506b1b428,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_94b30ae3cb86256af7d42ab668aa666c,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_1a6020ca12cf42e0cafd94f4c21b1330,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_5968f54ecd66efbf5e2392ca6417eb62,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_a50150f61bf9532c04021c4b43e57d2b,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_d13ed416bae55cd3269f981eaf007309,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_e0231be9e17dec8d66ad50b96172153f,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_ff10d7a640b5055be71fbaffc7575b25,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_72388c97b2856620a69f518e1a401ec1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_c587d6efa43aecb15163b6482b8b9dc4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_3ee318c4e97fa18c4590901d2ca74e91,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_3faa7607003b57bed9df46a477974946,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_ce8251aba7417141edf2850a93d75259,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_d58f7649a4004e710201e47eab14340a,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_d525f7edd78ab39591b58e48256080c7,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_829a1df0bede3269158e49e0efa30f5a,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_0cc39dcbf5c260ebc5dd980ed21379ee,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_9bb459ba5d1d02db79169f7d8dbb5653,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_2f0a036bf54ecbca40a4641abde9ff69,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_934433da40bf3d6fa79caf2627b15af2,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_ff5f4d9c62b584b3d3093a103690dc0c,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_ed26e38b64d06068c79e8b6e80fa94e0,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_6fbd322f1cccc269be60ea8819c59b74,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
