Arquivo,MIME_type,Pasta de Destino
VirusShare_790e13df030f3410425abe31f9313ec2,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_7713039d0cea21a69ec8ea5c8cff44ee,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_023ea3e47d20362085883656eea5c749,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_1e41e0d1a800ca51ef917b84ed6ff7ab,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_686dc6562ebab1655bfe710a32fd1c49,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_89285ad958107683f619602498d6e242,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_d68335d6bda17736fd99887e5fd61262,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_32c19718b9e480f87453579f2cb4e1fd,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_774fd6228e8e219da22037b120c12f57,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_c8fc852781fde7e21a9b326e2cf5273d,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_cf82caf7f88b4b2d5b2917eb00c92403,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_ff1523cd567b6905f60842191adf108a,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_ecd2d6d1b3a8d3e0c51f61b87097ff22,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_c37edec051ef2f18929add292ae67fc4,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_402edcbc113bc1c982712ca65c6793ea,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_afc7c7bf721453bbfa28900560d7863d,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_95ae0d83edeb99a5d7d9d1e3083d8706,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_f4b5fd2a54fb3ea1d721d13998ea117c,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_f16850d144fc164329cc32f2b50087bb,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_1d67180d3b813543a8287352350a9769,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_ffd56e1f881db0eb6ff185efa736aaba,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
VirusShare_6a0b23c3fe4e9bbfe88d754ec2c31c49,application/x-ms-shortcut,./sample_classification/application_x-ms-shortcut
