Arquivo,MIME_type
VirusShare_b34d1f1a53f72af0daa142f38e6833c0,application/msword
VirusShare_c2ed8fc614aeda36a7e3a638fa7db16a,application/msword
VirusShare_697cbcf62d93e93acafcbf8cc8b26c08,application/msword
VirusShare_3d6a59b2463cbae2e8cd5cc4d0859477,application/msword
VirusShare_91cb50ebd859a654a5e4d69cee666199,application/msword
VirusShare_091685e8e284a3a631562e57564fe9bc,application/msword
VirusShare_e14e43e7458e6364bb257aac0ab1fd94,application/msword
VirusShare_4ca02d884e80c7333257d762e6964805,application/msword
VirusShare_970be1c59242aa7d82b6d34a3cdbfe3a,application/msword
VirusShare_20cd9c899dcde8bb326725f6faf52f21,application/msword
VirusShare_1788343232a0723bcd29b2727b502359,application/msword
VirusShare_abd78bb0be6d49e5b97cd7e1a3586c94,application/msword
VirusShare_2b967b3c953fcaf93c79150cb799ef2c,application/msword
VirusShare_f497f4739f95f184acf4094a3e0c4079,application/msword
VirusShare_5aae0a90a38ba094af7a73bfbf269f05,application/msword
VirusShare_bb96c4c67f6cd902d8bfd6e2253746d1,application/msword
VirusShare_09e8460dd13d84399e7b509fd6493b2a,application/msword
VirusShare_7cbc4c74870212cf418af8417001c23b,application/msword
VirusShare_df3648229c94fb3948e7bf1eb22c3e4e,application/msword
VirusShare_21af0921d9b6fac1c2b9a057e61c81c0,application/msword
VirusShare_54e10706f4addece0dc3219088103795,application/msword
