Arquivo,MIME_type
VirusShare_f4e1b14830e966f73b666133a107a30d,text/x-msdos-batch
VirusShare_45a35ef45a0dcfe459fab03250e15ed9,text/x-msdos-batch
VirusShare_72e3df3b77e95e5fa077261f78ebfba6,text/x-msdos-batch
VirusShare_049310c9e7b70273e43598f06d636367,text/x-msdos-batch
VirusShare_3a7a919027a8f730381106d73cd5373c,text/x-msdos-batch
VirusShare_e628c93bb5f169691b915aa8ced080b6,text/x-msdos-batch
VirusShare_3d0a68ff59312259001754eab23fa54b,text/x-msdos-batch
VirusShare_493a0e21a59e01db0cebae0e29db1211,text/x-msdos-batch
VirusShare_f98fb572e455cb1ac18f253c2c7c843c,text/x-msdos-batch
VirusShare_a8f1936347ecd887d8309833534dcbc2,text/x-msdos-batch
VirusShare_156e39fea71a5f42321e2fce455a3451,text/x-msdos-batch
VirusShare_cf7ff54d2f630ee554aca5f26529d0c9,text/x-msdos-batch
