Arquivo,MIME_type
VirusShare_b81d5e81fe94d9b2190cd4eebb2142fd,text/x-shellscript
VirusShare_7104e4917f8c2e3abb48f0b5110e9c39,text/x-shellscript
VirusShare_5b742211f2b4088618535cb3656a999a,text/x-shellscript
VirusShare_a71427b08851b6dd3c69fe14d89afcc0,text/x-shellscript
VirusShare_f8c106b0105808833d0fa2a83071ba85,text/x-shellscript
VirusShare_bf4950471a7c473b0e37e2bdd6b25e64,text/x-shellscript
VirusShare_0d1f90c7670387b463036eb920dd0329,text/x-shellscript
VirusShare_8566416577aeeeaad9f6b2ed3b834ac3,text/x-shellscript
VirusShare_8ffcb60acad75bd687d7a06f446da249,text/x-shellscript
VirusShare_ca3a1377e7f679b1e1f7cd81713f5754,text/x-shellscript
VirusShare_df6a8518b7aed7a4d32e39614d04c486,text/x-shellscript
