Arquivo,Tipo MIME
VirusShare_c474835613bd76001108ddcf7a531692,text/x-msdos-batch
VirusShare_450ba52b9e6f91abbe7c764425b0c7ff,text/x-msdos-batch
VirusShare_0debb2d5a67ad9c7e374ee89d2bdc0e9,text/x-msdos-batch
VirusShare_511032fba7506e188ae7e2d84da5ddfa,text/x-msdos-batch
VirusShare_37cbf51c8470f39210da2e7e786fdec3,text/x-msdos-batch
VirusShare_8b414174a55aa57b54df2e080ba6d0c2,text/x-msdos-batch
VirusShare_347faae049487b34eb1ea20278965e3e,text/x-msdos-batch
VirusShare_92d7968c69f010b1f2fdc8992bb99c1e,text/x-msdos-batch
VirusShare_e13dcf7ed064864a483b3c2df9d6feb3,text/x-msdos-batch
VirusShare_fedd9cb5e3ffd5436e973e7a627f3d3c,text/x-msdos-batch
VirusShare_0e00d32fabf3a4802f46d3663f7062e5,text/x-msdos-batch
VirusShare_e7827a404472222acb8124b488cf18a2,text/x-msdos-batch
