Arquivo,MIME_type
VirusShare_e887d94ae7f350fcb2d8d14674e7c562,text/rtf
VirusShare_dce1f11e0536192d09a3de13e0cfd7cb,text/rtf
VirusShare_4c504ced54f552e3526d64b467334fca,text/rtf
VirusShare_62599b7190af0564b68eec81cc1512aa,text/rtf
VirusShare_5242db71a9b5092dd951c947bb741164,text/rtf
VirusShare_dc92a9e38f2d53c87c4cb49696876887,text/rtf
VirusShare_6f61c27f84af398ed8658f08c2ec80c2,text/rtf
VirusShare_8fcca114ddbaf621b24df0bddc018533,text/rtf
VirusShare_3ae089494d820c514ba135503b99d51d,text/rtf
VirusShare_7d0a56315fea6d4cbc66a746c567baec,text/rtf
VirusShare_ed18f902ac9db5df0d922df455fd820a,text/rtf
VirusShare_6b2201e4c76bcde63d5cc3493c929759,text/rtf
VirusShare_1c526607205dae00fbf99fc843d8dd6a,text/rtf
VirusShare_fd436b2007cfdbef69366c5c4ceef9ef,text/rtf
VirusShare_c6721d54e147e8ca5a4a8a510ebaee81,text/rtf
VirusShare_dbb53a8dae4f27476b4f30dd484d5ed1,text/rtf
VirusShare_8584e220963ef43c95c9f479263d6d28,text/rtf
VirusShare_c8cd8336f0508813d452b5062a78c655,text/rtf
VirusShare_a6a7200cc618b877fbb66b8618cf4d6a,text/rtf
VirusShare_8bc2609721f0bbf93a7ea97da90bbc97,text/rtf
