Arquivo,MIME_type
VirusShare_38110fd8f71bc006c5dd4990e7e486ff,application/vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_eb25e5c200aaef55d509c765d0a5bf41,application/vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_bb803fb2198369d60caf8d4567133cdd,application/vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_27f9771cc3c8e9d28bf996cf400cc137,application/vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_36c46fcd671a9b9c6cff5ecc28dd3ca7,application/vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_bea5fef5df4826263c152e0f9e839906,application/vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_037d5bd374e951c967012847db059d6e,application/vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_c44fbd0a90fdca7067d1a6f3f4d1003e,application/vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_5cab21bdb9e2f4ae2ed2a4068bb636fb,application/vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_e2c3a6bcb015e2e5137d4a46881d38b6,application/vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_312e42a96ffaa8e6379a9c54266db2c3,application/vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_2a04e2c32a543a80869aa33bc603a7ba,application/vnd.openxmlformats-officedocument.wordprocessingml.document
