Arquivo,MIME_type,Pasta de Destino
VirusShare_9934f525e8ea1c8a4b24a3f2e4bc41fe,application/msword,./sample_classification/application_msword
VirusShare_12489be76fc04c1226707d1029f834a8,application/msword,./sample_classification/application_msword
VirusShare_531576d42fac0f02c88fdc36714d3d1c,application/msword,./sample_classification/application_msword
VirusShare_dbd2b86c7533b2f70feb439664eb266e,application/msword,./sample_classification/application_msword
VirusShare_df5926ad349dad39884d0a71f8c7318b,application/msword,./sample_classification/application_msword
VirusShare_a56a66e58064a45fca109c65daaec6d5,application/msword,./sample_classification/application_msword
VirusShare_e70320db1a53b3226e73d2b8124b2073,application/msword,./sample_classification/application_msword
VirusShare_c47745c73485b8492a301c2754ff895b,application/msword,./sample_classification/application_msword
VirusShare_ef8cf02b28315daff8ea591bc351976b,application/msword,./sample_classification/application_msword
VirusShare_ad5155b07bad3b1326cecce84afcd1f2,application/msword,./sample_classification/application_msword
VirusShare_af0870e941a776d5efda87418f75870e,application/msword,./sample_classification/application_msword
VirusShare_99d4e6823ca77891ffbdf29922bd1272,application/msword,./sample_classification/application_msword
VirusShare_4cbd18ecf3f934d6a8db9c3fe9245f81,application/msword,./sample_classification/application_msword
VirusShare_c969d83563ddbdc97f788400df8ba89f,application/msword,./sample_classification/application_msword
VirusShare_0b39d52ca205c00f34fed4d203f7bfdc,application/msword,./sample_classification/application_msword
VirusShare_b6bf42a76eb8cea70cb0a9ba2b8f31d5,application/msword,./sample_classification/application_msword
VirusShare_4bef93065940d30f86aca7dd733acade,application/msword,./sample_classification/application_msword
VirusShare_2870ffc563d32f1e0ab5f4a379fe74ce,application/msword,./sample_classification/application_msword
VirusShare_da6419e4d4e4528990898bcfdaa85e01,application/msword,./sample_classification/application_msword
VirusShare_d6b4bb4540d22a6973893d580b4b7ca7,application/msword,./sample_classification/application_msword
VirusShare_1b3aa94ffbb5eea24bc95ce2c09c1eed,application/msword,./sample_classification/application_msword
VirusShare_a247f372342cea34a8370c1de7dc6a9e,application/msword,./sample_classification/application_msword
VirusShare_53a9a559a5dfcba1eccfed3efa2442e7,application/msword,./sample_classification/application_msword
VirusShare_5a47c83afe361294f04dc2d1135a147f,application/msword,./sample_classification/application_msword
VirusShare_25187f1a0c61dd484e43ccfbbea0d8dd,application/msword,./sample_classification/application_msword
VirusShare_38aa23ee6f3164562c75b9584ddd8bf7,application/msword,./sample_classification/application_msword
VirusShare_cc0f06d5983721cb84c3be5025394dd8,application/msword,./sample_classification/application_msword
