Arquivo,MIME_type,Pasta de Destino
VirusShare_ba36220554ab830aad2ce4f4a0a2acb4,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_3ff57e34cdbfffc45f0cf9b9578d5982,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_e49c885d3236afa32adef83e8a201573,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_6dacfa9d1d1ab643aabf5c828a80c1df,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_37910641d01544a176b9b4ffce81ad3a,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_3471cb088d588150df6e37e2200afbf9,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_f97ee2a5b3396760e99dbdf533d464dc,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_e5a35f8c565ddea415804d4b05244e28,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_29934e0bec9fa34f70dec9a88c766105,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_2a6dc493d837b7f2a526f6d08bf5b5fe,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_a00323d66feb6d05cb3cfc28ff8c79a9,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_47c0b0a693e2a598c247e54bfc3d0776,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_833ed408719991a79967c99fc3a1a2ee,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_a2b59b949e7086a618beddf77d0a9a43,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_2c453dd70486f3e71baf99312ca1f14c,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
VirusShare_7659d46dbf1d34e7833e4b0b2968f281,application/vnd.openxmlformats-officedocument.presentationml.presentation,./sample_classification/application_vnd.openxmlformats-officedocument.presentationml.presentation
