Arquivo,Tipo MIME,Pasta de Destino
VirusShare_9e743082634b3dd82c1cdd73f0c0f634,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_978891042c401f4f06a7575d86c62533,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_bfb115e53a2519dc124a9f59535c8c50,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_576ab0c3a0c8d45d11f3ea2cb705656a,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_0bfcdea1c327fe3bd45acf389f32110f,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_d7906cc7e6d5300fe18d07efb58315b3,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_2fd46cba9bed0b8215977190d421c7e3,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_b2efec7ab7f417004a678bb9ca169fbc,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_283c2ed7a22891c3432b4fa8a76d325c,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_da73e155d2a08c5748a0690f02dc8668,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_ab04d329fc3c2ad9f6eaee1383f8801f,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_76c95634e851f302f00f870bf592bd5b,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_9b92dad6a362c023d082826162aa3bea,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_f7ac33fb4f5e0e571365a8bec2e0507d,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_84ea419fa0af9f105d34478376ea2acc,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_ed733d50002d20e73144ea6dc1cf5078,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_40baeeaa067b258134341fe0a185bdc4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_624940ad6f93cfc1abeaef4ebe749aa1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_bc373125a3c5d33c1322d2b02267bdf6,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_1fa266a50ad070302647d368290352d0,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_2d0a8469be691e1b42a193e2f90d16d6,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
VirusShare_2d3a88b15c4cb4af59ea3cc229fb7730,application/vnd.openxmlformats-officedocument.wordprocessingml.document,./sample_classification/application_vnd.openxmlformats-officedocument.wordprocessingml.document
