Arquivo,MIME_type,Pasta de Destino
VirusShare_38179760a71b2e6b6522d6801cb89179,text/rtf,./sample_classification/text_rtf
VirusShare_13b0f950e6053f758330793454df0d1e,text/rtf,./sample_classification/text_rtf
VirusShare_1899f397d74850fd0997fc141c46e49b,text/rtf,./sample_classification/text_rtf
VirusShare_c5df62fed777cdc07957e29692efaf92,text/rtf,./sample_classification/text_rtf
VirusShare_9095b4b704c9f1ef75cc683b57e1f207,text/rtf,./sample_classification/text_rtf
VirusShare_8e44bd514e698b973d5215ed743150d6,text/rtf,./sample_classification/text_rtf
VirusShare_6ef6f35201ba7e832d6464fdd208ba29,text/rtf,./sample_classification/text_rtf
VirusShare_e8cba98a1072120f172eadef52f1adbc,text/rtf,./sample_classification/text_rtf
VirusShare_59efb49438295ee8736f72f126d94ed5,text/rtf,./sample_classification/text_rtf
VirusShare_226035129ac9645a54d6e4af36f5b5b0,text/rtf,./sample_classification/text_rtf
VirusShare_212df1aef8f8b23361e9b0b385e6bc2e,text/rtf,./sample_classification/text_rtf
VirusShare_113ae8b76126b402c18b22ff44bd7647,text/rtf,./sample_classification/text_rtf
VirusShare_ad0f9c56ee043931b29fe72b175512fb,text/rtf,./sample_classification/text_rtf
VirusShare_bc4a0e5e31564d5c29a383c86ce7491a,text/rtf,./sample_classification/text_rtf
VirusShare_cc2c4c1f83ed182f0708291690b4531d,text/rtf,./sample_classification/text_rtf
VirusShare_b1c2a17fed7a983be469ec948e13d003,text/rtf,./sample_classification/text_rtf
VirusShare_dccf7f98e58bad926533715e366bbbbd,text/rtf,./sample_classification/text_rtf
VirusShare_94f9fbd1ec7f1138514bf3d57533736f,text/rtf,./sample_classification/text_rtf
VirusShare_aefa66647cfe2b49769b36b222af2f92,text/rtf,./sample_classification/text_rtf
VirusShare_e1bae052d5a86db65ee38990c31e0423,text/rtf,./sample_classification/text_rtf
VirusShare_38f813f2ba419013daa31f38954abad7,text/rtf,./sample_classification/text_rtf
VirusShare_f5f1fe4ee94ac02938249ee9cc9c0a44,text/rtf,./sample_classification/text_rtf
VirusShare_7ca6388377fae1582048f884df8b1092,text/rtf,./sample_classification/text_rtf
VirusShare_70b441b1af06608dd9c8a4c458e10fe2,text/rtf,./sample_classification/text_rtf
VirusShare_4cc659befba7aaf53375613494faad9e,text/rtf,./sample_classification/text_rtf
VirusShare_5ebc54ff148cfb126169f6b4a9286f8f,text/rtf,./sample_classification/text_rtf
VirusShare_9f06f63f9a90dd4c0d97462c83878d7b,text/rtf,./sample_classification/text_rtf
VirusShare_dc40e380a5749ea8a190cdfffc28c022,text/rtf,./sample_classification/text_rtf
VirusShare_782bf6bf070651e4c1686e55d4824b4d,text/rtf,./sample_classification/text_rtf
VirusShare_81328cb4752e4a26c4a0f9f28ef2644b,text/rtf,./sample_classification/text_rtf
VirusShare_3c6cab492dea95ef7cbfa9dedd25798c,text/rtf,./sample_classification/text_rtf
VirusShare_10c2bab7a44816e0c5c54cb8d21ef46d,text/rtf,./sample_classification/text_rtf
VirusShare_05606d4608ac7c6cc51b8316f336901a,text/rtf,./sample_classification/text_rtf
VirusShare_9aaf287388698afd5ef8bfeb1fb8ee24,text/rtf,./sample_classification/text_rtf
VirusShare_c59196fd8fa1389a3257937db3ea6269,text/rtf,./sample_classification/text_rtf
VirusShare_5168cb1584b1bdaa02c43349a1c50cb7,text/rtf,./sample_classification/text_rtf
VirusShare_71302ed111a77e0a4ea1b7e88443771c,text/rtf,./sample_classification/text_rtf
VirusShare_171adf976bea41ea05d4f4ae82604a8a,text/rtf,./sample_classification/text_rtf
VirusShare_f9a9e02d320ae1d2d6c2990a86c01775,text/rtf,./sample_classification/text_rtf
VirusShare_dfe56b111424502f837fd7048ab4fe6d,text/rtf,./sample_classification/text_rtf
VirusShare_24493dcacf05c9fb289fbfc212cd36b3,text/rtf,./sample_classification/text_rtf
VirusShare_9e62ad41e257d020ca7a2bc3b749c5a1,text/rtf,./sample_classification/text_rtf
VirusShare_3d5d468278a53417b489b8af898dc0e9,text/rtf,./sample_classification/text_rtf
VirusShare_18bcf20f438670d82e24691b676d8d06,text/rtf,./sample_classification/text_rtf
VirusShare_fc66be4a9696798aff0be8ed97bd294f,text/rtf,./sample_classification/text_rtf
VirusShare_9c90d014b3fe6c06dc4bfccd05eeb09b,text/rtf,./sample_classification/text_rtf
VirusShare_2e7c6287078304f0b229bc32254036b8,text/rtf,./sample_classification/text_rtf
VirusShare_d07a8c686032f858066beef82d067ad3,text/rtf,./sample_classification/text_rtf
