Arquivo,MIME_type,Pasta de Destino
VirusShare_b2214e4a5819e08f9195240c58f39544,text/x-c,./sample_classification/text_x-c
VirusShare_150bdcf2eabff395c157af96af2c5788,text/x-c,./sample_classification/text_x-c
VirusShare_0dfa8622e20deabdb22ef195b6931359,text/x-c,./sample_classification/text_x-c
VirusShare_582b1147cb1311363da71cb8609daa60,text/x-c,./sample_classification/text_x-c
VirusShare_f80534de301887ca277dae5f89732125,text/x-c,./sample_classification/text_x-c
VirusShare_76a4a6ee9b4da55c88d8fbedcde9f4a9,text/x-c,./sample_classification/text_x-c
VirusShare_4f4b9b8873cb843d889048b6e18d519e,text/x-c,./sample_classification/text_x-c
VirusShare_3f6a27edc292c6d7b4c76e45071d6d95,text/x-c,./sample_classification/text_x-c
VirusShare_eb70cb52465a82144306cd89cc9ab80f,text/x-c,./sample_classification/text_x-c
VirusShare_b5a10341930ae5408adb1355ebf8c017,text/x-c,./sample_classification/text_x-c
VirusShare_1a5274bb74fbed3478890de87b7095d3,text/x-c,./sample_classification/text_x-c
