Arquivo,MIME_type,Pasta de Destino
VirusShare_6f875a050b21096d7c5bf828850b5a42,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_9d4c79c19872985b3409c13fa5ef1b9d,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_71881905462cb4f96d50f7f26aa01313,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_a5187df45defa4d1a4641d2e51984056,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_ff763b39954d6d4c6ed76386c310b32f,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_c167fd1c251667a52cb34df720833858,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_6a44437c628c2cccd2311fb78b86769f,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_99c76ad052de69ec9a8db1e331cebc02,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_ab4ba6faa292f4c189b0eec7fdd7ac96,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_5f08eaf938614f1a76b9e39ec65cf12c,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_3f6f30bd409ad437cad0b09cb8f90f8d,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_b37dcc5e6e5a05659d0b258ffaa8e23c,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_70e95000772a6b18fb49e00d07e7a0e7,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_e6f523d05873d8aea4c8f4eb0fe0876b,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_2af43976edd2dbe42b6540f986ebb357,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_bead6d0668ce58e7b52acc82de38a895,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_e43d12842b4448785e703a93f25e3b26,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_9d4a782bf3692048142ffb5bce220953,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_09323905b47d70483e5e9ea7669dba0e,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_9fb88e12ed0920916a0a086cf21f398f,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_7dd0271e7382b600294233d469ba27da,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
VirusShare_e3c8c4493cee13b9110eecfff97e8525,text/x-msdos-batch,./sample_classification/text_x-msdos-batch
