Arquivo,MIME_type,Pasta de Destino
VirusShare_395d015795789d2408bbfdab50c4f193,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_99aed63a06b16f07a0a17dbbd037382b,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_6691b627cd1b55dd8cb0bd49366b9856,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_c975ac1a32da7f6fc40e4f5562efd16c,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_75b374ff8d7ebd9368841733527819ea,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_a25196b1c94efbbf9c3bf6f8146cc9b3,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_1484f688ba2460e32bbfe5beec754be0,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_58357969336c73f277054fdb9bb89678,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_e30bccc2ab34ad9de1525589dd7458ce,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_97cc2bf04c529150f05c25c966502bea,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_b68adcdbed80119e5962e3236262bf82,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_f9e51a30bd0110f02abab49a65752c4b,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_16c2130ec30ae1619811a2a08c458977,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_539ce9f7582c5382a552545eb3f5819a,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_02ca1bec2de42845c35867af0dc72be3,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_defc273b435525271b20305cd6781f53,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_ce8d85f88ee52ac4bd954d9faa99c484,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_5c98304215cca5bfc73369ba860254c9,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_cce35cf38bd487e3abcefd92fe68a0d9,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_ff983fced3f7e17fbc6577f1de795597,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_1196d0a31402b04a32aa582ae6d2c15b,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_5c75e6f27cc568187e4b7a6371c61181,text/x-shellscript,./sample_classification/text_x-shellscript
VirusShare_272cb8758ab335520e026ec16784ba61,text/x-shellscript,./sample_classification/text_x-shellscript
