MIME_type,Count,Virus_Share_Package
application/vnd.microsoft.portable-executable,31075,Untreated_logs/registro_destino_00469.csv
text/html,13171,Untreated_logs/registro_destino_00469.csv
application/pdf,10957,Untreated_logs/registro_destino_00469.csv
application/javascript,6681,Untreated_logs/registro_destino_00469.csv
text/plain,836,Untreated_logs/registro_destino_00469.csv
application/vnd.android.package-archive,745,Untreated_logs/registro_destino_00469.csv
application/octet-stream,666,Untreated_logs/registro_destino_00469.csv
application/x-ms-shortcut,538,Untreated_logs/registro_destino_00469.csv
application/java-archive,169,Untreated_logs/registro_destino_00469.csv
application/x-executable,163,Untreated_logs/registro_destino_00469.csv
application/zip,145,Untreated_logs/registro_destino_00469.csv
text/xml,67,Untreated_logs/registro_destino_00469.csv
application/x-rar,53,Untreated_logs/registro_destino_00469.csv
text/x-php,49,Untreated_logs/registro_destino_00469.csv
application/x-sharedlib,34,Untreated_logs/registro_destino_00469.csv
application/vnd.ms-excel,29,Untreated_logs/registro_destino_00469.csv
message/rfc822,26,Untreated_logs/registro_destino_00469.csv
application/x-mach-binary,21,Untreated_logs/registro_destino_00469.csv
text/x-script.python,17,Untreated_logs/registro_destino_00469.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,15,Untreated_logs/registro_destino_00469.csv
text/x-ruby,14,Untreated_logs/registro_destino_00469.csv
text/x-shellscript,13,Untreated_logs/registro_destino_00469.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,10,Untreated_logs/registro_destino_00469.csv
text/x-msdos-batch,9,Untreated_logs/registro_destino_00469.csv
application/x-7z-compressed,9,Untreated_logs/registro_destino_00469.csv
application/gzip,5,Untreated_logs/registro_destino_00469.csv
text/x-perl,3,Untreated_logs/registro_destino_00469.csv
application/json,2,Untreated_logs/registro_destino_00469.csv
application/x-adobe-aco,2,Untreated_logs/registro_destino_00469.csv
text/x-c,2,Untreated_logs/registro_destino_00469.csv
application/x-ms-compress-szdd,1,Untreated_logs/registro_destino_00469.csv
application/x-java-applet,1,Untreated_logs/registro_destino_00469.csv
application/x-setupscript,1,Untreated_logs/registro_destino_00469.csv
application/x-dosexec,1,Untreated_logs/registro_destino_00469.csv
application/x-shockwave-flash,1,Untreated_logs/registro_destino_00469.csv
text/rtf,1,Untreated_logs/registro_destino_00469.csv
text/x-asm,1,Untreated_logs/registro_destino_00469.csv
application/vnd.ms-htmlhelp,1,Untreated_logs/registro_destino_00469.csv
application/x-iso9660-image,1,Untreated_logs/registro_destino_00469.csv
application/zlib,1,Untreated_logs/registro_destino_00469.csv
