Tipo MIME,Count,Virus_Share_Package
application/x-dosexec,30241,registro_destino_00471.csv
application/pdf,17428,registro_destino_00471.csv
text/html,9482,registro_destino_00471.csv
text/plain,5051,registro_destino_00471.csv
application/octet-stream,960,registro_destino_00471.csv
application/zip,731,registro_destino_00471.csv
application/x-executable,626,registro_destino_00471.csv
application/java-archive,247,registro_destino_00471.csv
text/xml,152,registro_destino_00471.csv
application/x-java-applet,92,registro_destino_00471.csv
application/x-rar,87,registro_destino_00471.csv
application/encrypted,70,registro_destino_00471.csv
application/gzip,51,registro_destino_00471.csv
text/x-php,50,registro_destino_00471.csv
application/x-7z-compressed,32,registro_destino_00471.csv
text/rtf,30,registro_destino_00471.csv
application/vnd.ms-excel,23,registro_destino_00471.csv
application/msword,21,registro_destino_00471.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,18,registro_destino_00471.csv
application/x-sharedlib,17,registro_destino_00471.csv
message/rfc822,17,registro_destino_00471.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,16,registro_destino_00471.csv
application/CDFV2,15,registro_destino_00471.csv
text/x-ruby,12,registro_destino_00471.csv
application/x-msi,11,registro_destino_00471.csv
text/x-script.python,8,registro_destino_00471.csv
application/vnd.openxmlformats-officedocument.presentationml.presentation,7,registro_destino_00471.csv
text/x-shellscript,6,registro_destino_00471.csv
application/x-iso9660-image,5,registro_destino_00471.csv
text/x-c++,4,registro_destino_00471.csv
application/x-mach-binary,3,registro_destino_00471.csv
text/x-msdos-batch,3,registro_destino_00471.csv
application/x-pie-executable,3,registro_destino_00471.csv
application/json,2,registro_destino_00471.csv
application/x-shockwave-flash,2,registro_destino_00471.csv
text/csv,2,registro_destino_00471.csv
image/gif,2,registro_destino_00471.csv
application/x-xz,2,registro_destino_00471.csv
application/zlib,2,registro_destino_00471.csv
application/vnd.ms-powerpoint,1,registro_destino_00471.csv
application/x-bytecode.python,1,registro_destino_00471.csv
text/x-c,1,registro_destino_00471.csv
image/svg+xml,1,registro_destino_00471.csv
application/x-lzh-compressed,1,registro_destino_00471.csv
