MIME Type,Total Count,Percentage
application/pdf,428558,38.466330135569855
application/x-dosexec,361807,32.474921731387866
text/html,166224,14.91986443014706
application/vnd.microsoft.portable-executable,100628,9.032126034007353
text/plain,52176,4.683191636029411
application/octet-stream,20854,1.8718046300551472
application/javascript,13383,1.2012257295496325
application/zip,8944,0.8027918198529412
application/x-executable,6553,0.5881814395680147
application/java-archive,3426,0.3075094784007353
application/vnd.android.package-archive,3059,0.2745684455422794
text/x-msdos-batch,2908,0.2610150505514706
text/xml,1519,0.13634176815257354
text/x-php,1370,0.12296788832720588
application/x-ms-shortcut,1176,0.10555491727941176
application/x-rar,1022,0.09173224954044118
application/vnd.ms-excel,591,0.05304673138786765
message/rfc822,579,0.05196964039522059
application/x-java-applet,415,0.037249396829044115
application/encrypted,395,0.03545424517463235
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,314,0.028183880974264705
application/vnd.openxmlformats-officedocument.wordprocessingml.document,258,0.023157456341911763
text/x-script.python,241,0.021631577435661763
application/gzip,232,0.02082375919117647
text/rtf,218,0.019567153033088237
application/x-sharedlib,198,0.01777200137867647
text/x-ruby,190,0.017053940716911763
text/x-shellscript,184,0.016515395220588237
application/x-pie-executable,158,0.014181698069852942
application/x-mach-binary,152,0.013643152573529412
application/msword,117,0.010501637178308824
application/x-msi,110,0.009873334099264707
application/x-7z-compressed,107,0.00960406135110294
application/x-iso9660-image,99,0.008886000689338236
application/json,65,0.005834242876838236
text/x-c,63,0.005654727711397059
application/CDFV2,53,0.004757151884191176
text/x-c++,47,0.004218606387867647
application/vnd.openxmlformats-officedocument.presentationml.presentation,37,0.0033210305606617644
text/x-Algol68,34,0.0030517578125
application/x-setupscript,34,0.0030517578125
application/x-wine-extension-ini,32,0.0028722426470588233
text/x-perl,27,0.002423454733455882
application/x-shockwave-flash,19,0.0017053940716911765
text/x-asm,18,0.0016156364889705884
application/vnd.ms-powerpoint,17,0.00152587890625
application/x-ace-compressed,14,0.0012566061580882352
application/zlib,14,0.0012566061580882352
application/x-xz,13,0.001166848575367647
application/x-adobe-aco,11,0.0009873334099264705
application/x-ole-storage,10,0.0008975758272058824
application/x-bytecode.python,9,0.0008078182444852942
application/x-lzh-compressed,9,0.0008078182444852942
audio/ogg,8,0.0007180606617647058
application/x-tar,6,0.0005385454963235295
application/vnd.ms-cab-compressed,6,0.0005385454963235295
image/gif,6,0.0005385454963235295
application/x-chrome-extension,5,0.0004487879136029412
audio/mpeg,5,0.0004487879136029412
application/vnd.debian.binary-package,5,0.0004487879136029412
audio/x-wav,5,0.0004487879136029412
application/x-xar,5,0.0004487879136029412
application/x-object,4,0.0003590303308823529
application/x-ms-wim,4,0.0003590303308823529
image/png,4,0.0003590303308823529
text/csv,4,0.0003590303308823529
image/svg+xml,4,0.0003590303308823529
application/x-ms-compress-szdd,3,0.0002692727481617647
application/x-coff,2,0.00017951516544117646
application/vnd.tcpdump.pcap,2,0.00017951516544117646
text/x-java,2,0.00017951516544117646
font/sfnt,2,0.00017951516544117646
application/x-bittorrent,1,8.975758272058823e-05
image/webp,1,8.975758272058823e-05
x-epoc/x-sisx-app,1,8.975758272058823e-05
application/x-dc42-floppy-image,1,8.975758272058823e-05
text/x-objective-c,1,8.975758272058823e-05
image/x-tga,1,8.975758272058823e-05
application/x-pnf,1,8.975758272058823e-05
application/x-dosdriver,1,8.975758272058823e-05
image/bmp,1,8.975758272058823e-05
text/troff,1,8.975758272058823e-05
image/vnd.dwg,1,8.975758272058823e-05
text/x-ms-regedit,1,8.975758272058823e-05
application/x-bzip2,1,8.975758272058823e-05
application/vnd.ms-htmlhelp,1,8.975758272058823e-05
application/x-mswinurl,1,8.975758272058823e-05
