MIME Type,Total Count,Percentage
application/pdf,428756,36.35%
application/x-dosexec,361806,30.67%
text/html,166294,14.10%
application/vnd.microsoft.portable-executable,100972,8.56%
text/plain,52179,4.42%
application/octet-stream,20859,1.77%
application/javascript,13394,1.14%
application/zip,8944,0.76%
application/x-executable,6756,0.57%
application/java-archive,3427,0.29%
application/vnd.android.package-archive,3064,0.26%
text/x-msdos-batch,2908,0.25%
text/xml,1520,0.13%
text/x-php,1370,0.12%
application/x-ms-shortcut,1183,0.10%
application/x-rar,1023,0.09%
application/vnd.ms-excel,591,0.05%
message/rfc822,580,0.05%
application/x-java-applet,416,0.04%
application/encrypted,395,0.03%
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,314,0.03%
application/vnd.openxmlformats-officedocument.wordprocessingml.document,258,0.02%
text/x-script.python,242,0.02%
application/gzip,232,0.02%
text/rtf,218,0.02%
application/x-sharedlib,203,0.02%
text/x-ruby,190,0.02%
text/x-shellscript,184,0.02%
application/x-pie-executable,158,0.01%
application/x-mach-binary,152,0.01%
application/msword,117,0.01%
application/x-msi,110,0.01%
application/x-7z-compressed,107,0.01%
application/x-iso9660-image,99,0.01%
application/json,66,0.01%
text/x-c,63,0.01%
application/CDFV2,53,0.00%
text/x-c++,47,0.00%
application/vnd.openxmlformats-officedocument.presentationml.presentation,37,0.00%
text/x-Algol68,34,0.00%
application/x-setupscript,34,0.00%
application/x-wine-extension-ini,32,0.00%
text/x-perl,27,0.00%
application/x-shockwave-flash,19,0.00%
text/x-asm,18,0.00%
application/vnd.ms-powerpoint,17,0.00%
application/x-ace-compressed,14,0.00%
application/zlib,14,0.00%
application/x-xz,13,0.00%
application/x-adobe-aco,11,0.00%
application/x-ole-storage,10,0.00%
application/x-bytecode.python,9,0.00%
application/x-lzh-compressed,9,0.00%
audio/ogg,8,0.00%
image/gif,6,0.00%
application/vnd.ms-cab-compressed,6,0.00%
application/x-tar,6,0.00%
application/x-chrome-extension,5,0.00%
audio/mpeg,5,0.00%
application/vnd.debian.binary-package,5,0.00%
audio/x-wav,5,0.00%
application/x-xar,5,0.00%
application/x-object,4,0.00%
application/x-ms-wim,4,0.00%
image/png,4,0.00%
text/csv,4,0.00%
image/svg+xml,4,0.00%
application/x-ms-compress-szdd,3,0.00%
application/x-coff,2,0.00%
application/vnd.tcpdump.pcap,2,0.00%
text/x-java,2,0.00%
font/sfnt,2,0.00%
text/x-ms-regedit,1,0.00%
image/vnd.dwg,1,0.00%
application/x-dosdriver,1,0.00%
application/vnd.ms-htmlhelp,1,0.00%
application/x-bzip2,1,0.00%
text/troff,1,0.00%
image/bmp,1,0.00%
x-epoc/x-sisx-app,1,0.00%
application/x-pnf,1,0.00%
image/x-tga,1,0.00%
image/webp,1,0.00%
application/x-bittorrent,1,0.00%
text/x-objective-c,1,0.00%
application/x-dc42-floppy-image,1,0.00%
application/x-mswinurl,1,0.00%
All Samples,1179645,100.00%
